Test Step,Description,Test Class,Started,Finished,Duration(sec),Status,FailureMessage,Additional Parameters,

clickPayTabTest,,RefundRevokeDecline,12:44:57 PM,12:45:00 PM,2.8,PASS,,
verifyInvoicePageTest,,RefundRevokeDecline,12:45:00 PM,12:45:01 PM,0.3,PASS,,
clickUnpaidInvoiceTest,,RefundRevokeDecline,12:45:01 PM,12:45:01 PM,0.4,PASS,,
verifyInvoiceDetailsPageTest,,RefundRevokeDecline,12:45:01 PM,12:45:13 PM,11.6,PASS,,
clickPayInvoiceTest,,RefundRevokeDecline,12:45:13 PM,12:45:17 PM,4.0,PASS,,
verifyInvoicePayNowPageTest,,RefundRevokeDecline,12:45:17 PM,12:45:23 PM,5.9,PASS,,
selectECheckAndAgreeTermsTest,,RefundRevokeDecline,12:45:23 PM,12:45:57 PM,34.3,PASS,,
payInvoiceTest,,RefundRevokeDecline,12:45:57 PM,12:45:57 PM,0.1,PASS,,
verifyInvoicePaidTest,,RefundRevokeDecline,12:45:57 PM,12:46:03 PM,6.4,PASS,,
signOutEmployerTest,,RefundRevokeDecline,12:46:03 PM,12:46:13 PM,9.4,PASS,,
verifyLoginPageFiveTest,,RefundRevokeDecline,12:46:13 PM,12:46:13 PM,0.1,PASS,,
launchAdminSiteTest,,RefundRevokeDecline,12:46:13 PM,12:46:14 PM,1.2,PASS,,
verifyAdminLoginPageTest,,RefundRevokeDecline,12:46:14 PM,12:46:14 PM,0.0,FAIL,javalangNullPointerException,
loginToAdminTest,,RefundRevokeDecline,12:46:16 PM,12:46:23 PM,6.5,PASS,,
verifyAdminHomePageTest,,RefundRevokeDecline,12:46:23 PM,12:46:23 PM,0.1,PASS,,
goToAcceptApproveTest,,RefundRevokeDecline,12:46:23 PM,12:46:26 PM,2.9,PASS,,
verifyAdminApprovePaymentsPage,,RefundRevokeDecline,12:46:26 PM,12:46:27 PM,0.9,PASS,,
goToPendingTabTest,,RefundRevokeDecline,12:46:27 PM,12:46:27 PM,0.7,PASS,,
findPendingPaymentTest,,RefundRevokeDecline,12:46:27 PM,12:46:28 PM,1.0,PASS,,
clickApproveTest,,RefundRevokeDecline,12:46:28 PM,12:46:34 PM,5.5,PASS,,
goToCompletedTabTest,,RefundRevokeDecline,12:46:34 PM,12:46:35 PM,1.0,PASS,,
clickRevokeTest,,RefundRevokeDecline,12:46:35 PM,12:46:38 PM,3.4,PASS,,
logoutAdminTest,,RefundRevokeDecline,12:46:38 PM,12:46:46 PM,7.8,PASS,,
verifyLoggedOutTest,,RefundRevokeDecline,12:46:46 PM,12:46:46 PM,0.0,FAIL,javalangNullPointerException,
launchGuruTest,,RefundRevokeDecline,12:46:47 PM,12:46:49 PM,1.9,PASS,,
verifyLoginPageSixTest,,RefundRevokeDecline,12:46:49 PM,12:46:49 PM,0.1,PASS,,
loginEmployerTest,,RefundRevokeDecline,12:46:49 PM,12:46:49 PM,0.2,PASS,,
verifyEmployerLogInTest,,RefundRevokeDecline,12:46:49 PM,12:47:03 PM,14.6,PASS,,
verifyEmployerDashTest,,RefundRevokeDecline,12:47:03 PM,12:47:04 PM,0.3,PASS,,
goToInvoiceSummaryTest,,RefundRevokeDecline,12:47:04 PM,12:47:07 PM,3.1,PASS,,
verifyInvoiceSummaryTest,,RefundRevokeDecline,12:47:07 PM,12:47:07 PM,0.5,PASS,,
clickFirstViewAndPayTest,,RefundRevokeDecline,12:47:07 PM,12:47:07 PM,0.1,PASS,,
validateInvoiceDetailsPageTest,,RefundRevokeDecline,12:47:07 PM,12:47:19 PM,11.4,PASS,,
clickPayInvoiceBtnTest,,RefundRevokeDecline,12:47:19 PM,12:47:23 PM,4.1,PASS,,
validateInvoicePayNowPageTest,,RefundRevokeDecline,12:47:23 PM,12:47:30 PM,6.7,PASS,,
payUsingEcheckTest,,RefundRevokeDecline,12:47:30 PM,12:47:30 PM,0.3,PASS,,
payTheInvoiceTest,,RefundRevokeDecline,12:47:30 PM,12:47:30 PM,0.1,PASS,,
verifyInvoiceIsPaidTest,,RefundRevokeDecline,12:47:30 PM,12:47:36 PM,6.4,PASS,,
logOutEmployerTest,,RefundRevokeDecline,12:47:36 PM,12:47:45 PM,8.4,PASS,,
verifyLoginPageSevenTest,,RefundRevokeDecline,12:47:45 PM,12:47:45 PM,0.1,PASS,,
goToAdminSiteTest,,RefundRevokeDecline,12:47:45 PM,12:47:46 PM,0.8,PASS,,
validateAdminLoginPageTest,,RefundRevokeDecline,12:47:46 PM,12:47:46 PM,0.0,FAIL,javalangNullPointerException,
logIntoAdminTest,,RefundRevokeDecline,12:47:47 PM,12:47:53 PM,6.6,PASS,,
validateAdminHomePageTest,,RefundRevokeDecline,12:47:53 PM,12:47:53 PM,0.1,PASS,,
goToAcceptApprovePaymentsTest,,RefundRevokeDecline,12:47:53 PM,12:47:55 PM,2.2,PASS,,
validateAdminApprovePaymentsPage,,RefundRevokeDecline,12:47:56 PM,12:47:56 PM,0.8,PASS,,
navToPendingTabTest,,RefundRevokeDecline,12:47:56 PM,12:47:57 PM,0.7,PASS,,
searchForPendingPaymentTest,,RefundRevokeDecline,12:47:57 PM,12:47:58 PM,0.6,PASS,,
clickDeclineTest,,RefundRevokeDecline,12:47:58 PM,12:48:02 PM,4.0,PASS,,
