Test Step,Description,Test Class,Started,Finished,Duration(sec),Status,FailureMessage,Additional Parameters,

clickSendMessageTest,,HirePageTest,05:47:32 PM,05:47:37 PM,5.1,PASS,,
clickBackInOpenedQuoteTest,,HirePageTest,05:47:37 PM,05:47:38 PM,0.8,PASS,,
clickWorkRoomLinkTest,,HirePageTest,05:47:38 PM,05:47:43 PM,5.4,PASS,,
verifyEMPStatusUpdatesTabTest,,WorkroomPageTest,05:47:43 PM,05:47:45 PM,1.6,PASS,,
enterMessageTest,,WorkroomPageTest,05:47:45 PM,05:48:07 PM,22.6,PASS,,
verifyMsgCharLimitTest,,WorkroomPageTest,05:48:07 PM,05:48:07 PM,0.0,PASS,,
clickAttachFilesTest,,WorkroomPageTest,05:48:07 PM,05:48:08 PM,0.2,PASS,,
clickSelectFilesTest,,WorkroomPageTest,05:48:08 PM,05:48:08 PM,0.1,PASS,,
uploadFileTest,,WorkroomPageTest,05:48:08 PM,05:48:22 PM,14.4,PASS,,
clickFinishedTest,,WorkroomPageTest,05:48:22 PM,05:48:32 PM,10.2,PASS,,
clickSendMessageTest,,WorkroomPageTest,05:48:32 PM,05:48:37 PM,5.1,PASS,,
clickAttachFilesTest,,WorkroomPageTest,05:48:38 PM,05:48:38 PM,0.1,PASS,,
clickSelectFilesTest,,WorkroomPageTest,05:48:38 PM,05:48:38 PM,0.1,PASS,,
uploadFileTest,,WorkroomPageTest,05:48:38 PM,05:49:02 PM,24.0,FAIL,Automated Script Exception-Please check error log,
verifyMaxSizeLimitErrorTest,,WorkroomPageTest,05:49:04 PM,05:49:04 PM,0.0,PASS,,
clickFinishedTest,,WorkroomPageTest,05:49:04 PM,05:49:14 PM,10.1,PASS,,
clickAgreementTabEMPTest,,WorkroomPageTest,05:49:14 PM,05:49:14 PM,0.1,PASS,,
verifyAgreementTabEMPTest,,WorkroomPageTest,05:49:14 PM,05:49:16 PM,1.9,PASS,,
enterMessageTest,,WorkroomPageTest,05:49:16 PM,05:49:19 PM,2.6,PASS,,
clickAttachFilesTest,,WorkroomPageTest,05:49:19 PM,05:49:19 PM,0.1,PASS,,
clickSelectFilesTest,,WorkroomPageTest,05:49:19 PM,05:49:19 PM,0.1,PASS,,
uploadFileTest,,WorkroomPageTest,05:49:19 PM,05:49:34 PM,14.4,PASS,,
clickFinishedTest,,WorkroomPageTest,05:49:34 PM,05:49:44 PM,10.1,PASS,,
clickSendMessageTest,,WorkroomPageTest,05:49:44 PM,05:49:49 PM,5.1,PASS,,
clickSafePayTabTest,,WorkroomPageTest,05:49:49 PM,05:49:49 PM,0.1,PASS,,
verifyEMPSafePayTabTest,,WorkroomPageTest,05:49:49 PM,05:49:51 PM,2.2,PASS,,
enterMessageTest,,WorkroomPageTest,05:49:51 PM,05:49:54 PM,2.6,PASS,,
clickAttachFilesTest,,WorkroomPageTest,05:49:54 PM,05:49:54 PM,0.2,PASS,,
clickSelectFilesTest,,WorkroomPageTest,05:49:54 PM,05:49:54 PM,0.1,PASS,,
uploadFileTest,,WorkroomPageTest,05:49:54 PM,05:50:10 PM,15.6,PASS,,
clickFinishedTest,,WorkroomPageTest,05:50:10 PM,05:50:20 PM,10.2,PASS,,
clickSendMessageTest,,WorkroomPageTest,05:50:20 PM,05:50:25 PM,5.1,PASS,,
clickSearchIconTopPanelTest,,DashboardPageTest,05:50:25 PM,05:50:38 PM,13.2,PASS,,
verifyFindGurusPageTest,,FindGurusPageTest,05:50:38 PM,05:50:39 PM,0.1,PASS,,
verifyPaginationTest,,FindGurusPageTest,05:50:39 PM,05:50:39 PM,0.2,PASS,,
verifyMyGurusRefinementTest,,FindGurusPageTest,05:50:39 PM,05:50:39 PM,0.1,PASS,,
clickGetAQuoteByIndexTest,,FindGurusPageTest,05:50:39 PM,05:50:44 PM,5.0,PASS,,
selectExistingJobTest,,FLProfilePageTest,05:50:44 PM,05:50:44 PM,0.3,PASS,,
enterMessageTest,,FLProfilePageTest,05:50:44 PM,05:50:44 PM,0.3,PASS,,
clickGetAQuoteTest,,FLProfilePageTest,05:50:44 PM,05:50:52 PM,8.1,PASS,,
getMsgsCountBeforeTest,,DashboardPageTest,05:50:52 PM,05:50:58 PM,5.0,PASS,,
